Text,Label,cue_0,boc_prompt_0,cue_1,boc_prompt_1,cue_2,boc_prompt_2,boc_output_0,boc_label_0,boc_output_1,boc_label_1,boc_output_2,boc_label_2,label_pred
@Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT,0,"['topic', 'cultural background', 'language style', 'emotional contrasts', 'punctuation']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: topic, cultural background, language style, emotional contrasts, punctuation from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['cultural background', 'special symbols', 'surface emotion', 'language style', 'emotional contrasts']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: cultural background, special symbols, surface emotion, language style, emotional contrasts from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['keywords', 'context', 'rhetorical devices', 'common knowledge', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: keywords, context, rhetorical devices, common knowledge, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",1,"['surface emotion', 'context', 'punctuation', 'emotional contrasts', 'topic']","[{'role': 'user', 'content': '\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: surface emotion, context, punctuation, emotional contrasts, topic from the Input text, to assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Input:\n        Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony\n\n        ### Response: \n\n        ### Label: \n\n        '}]","['common knowledge', 'surface emotion', 'punctuation', 'keywords', 'special symbols']","[{'role': 'user', 'content': '\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: common knowledge, surface emotion, punctuation, keywords, special symbols from the Input text, to assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Input:\n        Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony\n\n        ### Response: \n\n        ### Label: \n\n        '}]","['surface emotion', 'emotional words', 'language style', 'punctuation', 'special symbols']","[{'role': 'user', 'content': '\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: surface emotion, emotional words, language style, punctuation, special symbols from the Input text, to assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Input:\n        Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony\n\n        ### Response: \n\n        ### Label: \n\n        '}]",sarcastic,1,sarcastic,1,sarcastic,1,1
#NOT GONNA WIN http://t.co/Mc9ebqjAqj,0,"['emotional words', 'topic', 'language style', 'special symbols', 'emotional contrasts']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional words, topic, language style, special symbols, emotional contrasts from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        #NOT GONNA WIN http://t.co/Mc9ebqjAqj\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['keywords', 'surface emotion', 'rhetorical devices', 'cultural background', 'topic']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: keywords, surface emotion, rhetorical devices, cultural background, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        #NOT GONNA WIN http://t.co/Mc9ebqjAqj\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['common knowledge', 'keywords', 'cultural background', 'emotional contrasts', 'surface emotion']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: common knowledge, keywords, cultural background, emotional contrasts, surface emotion from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        #NOT GONNA WIN http://t.co/Mc9ebqjAqj\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
@mickymantell He is exactly that sort of person. Weirdo!,0,"['surface emotion', 'rhetorical devices', 'special symbols', 'emotional words', 'keywords']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: surface emotion, rhetorical devices, special symbols, emotional words, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @mickymantell He is exactly that sort of person. Weirdo!\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['topic', 'special symbols', 'common knowledge', 'rhetorical devices', 'context']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: topic, special symbols, common knowledge, rhetorical devices, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @mickymantell He is exactly that sort of person. Weirdo!\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional contrasts', 'language style', 'common knowledge', 'keywords', 'context']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, language style, common knowledge, keywords, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @mickymantell He is exactly that sort of person. Weirdo!\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,1,"['cultural background', 'punctuation', 'keywords', 'rhetorical devices', 'common knowledge']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: cultural background, punctuation, keywords, rhetorical devices, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['punctuation', 'context', 'topic', 'cultural background', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: punctuation, context, topic, cultural background, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional contrasts', 'language style', 'surface emotion', 'rhetorical devices', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, language style, surface emotion, rhetorical devices, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,not sarcastic,0,sarcastic,1,1
Corny jokes are my absolute favorite,0,"['keywords', 'emotional words', 'emotional contrasts', 'surface emotion', 'language style']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: keywords, emotional words, emotional contrasts, surface emotion, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Corny jokes are my absolute favorite\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['topic', 'common knowledge', 'surface emotion', 'keywords', 'emotional words']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: topic, common knowledge, surface emotion, keywords, emotional words from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Corny jokes are my absolute favorite\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional words', 'rhetorical devices', 'emotional contrasts', 'cultural background', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional words, rhetorical devices, emotional contrasts, cultural background, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Corny jokes are my absolute favorite\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",1,"['emotional contrasts', 'rhetorical devices', 'context', 'common knowledge', 'punctuation']","[{'role': 'user', 'content': '\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, rhetorical devices, context, common knowledge, punctuation from the Input text, to assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Input:\n        People complain about my backround pic and all I feel is like ""hey don\'t blame me, Albert E might have spoken those words"" #sarcasm #life\n\n        ### Response: \n\n        ### Label: \n\n        '}]","['keywords', 'emotional contrasts', 'cultural background', 'context', 'common knowledge']","[{'role': 'user', 'content': '\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: keywords, emotional contrasts, cultural background, context, common knowledge from the Input text, to assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Input:\n        People complain about my backround pic and all I feel is like ""hey don\'t blame me, Albert E might have spoken those words"" #sarcasm #life\n\n        ### Response: \n\n        ### Label: \n\n        '}]","['emotional contrasts', 'keywords', 'punctuation', 'cultural background', 'rhetorical devices']","[{'role': 'user', 'content': '\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, keywords, punctuation, cultural background, rhetorical devices from the Input text, to assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Input:\n        People complain about my backround pic and all I feel is like ""hey don\'t blame me, Albert E might have spoken those words"" #sarcasm #life\n\n        ### Response: \n\n        ### Label: \n\n        '}]",sarcastic,1,sarcastic,1,sarcastic,1,1
"@SR_Duncan @benpobjie Darn, my sock joke needs fixing?",0,"['emotional contrasts', 'common knowledge', 'rhetorical devices', 'topic', 'emotional words']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, common knowledge, rhetorical devices, topic, emotional words from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @SR_Duncan @benpobjie Darn, my sock joke needs fixing?\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['cultural background', 'topic', 'punctuation', 'special symbols', 'context']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: cultural background, topic, punctuation, special symbols, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @SR_Duncan @benpobjie Darn, my sock joke needs fixing?\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['topic', 'context', 'surface emotion', 'special symbols', 'emotional words']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: topic, context, surface emotion, special symbols, emotional words from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @SR_Duncan @benpobjie Darn, my sock joke needs fixing?\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",0,"['topic', 'common knowledge', 'surface emotion', 'emotional words', 'context']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: topic, common knowledge, surface emotion, emotional words, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional words', 'keywords', 'cultural background', 'rhetorical devices', 'language style']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional words, keywords, cultural background, rhetorical devices, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['context', 'language style', 'common knowledge', 'surface emotion', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: context, language style, common knowledge, surface emotion, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,not sarcastic,0,sarcastic,1,1
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",1,"['emotional contrasts', 'punctuation', 'topic', 'cultural background', 'keywords']","[{'role': 'user', 'content': '\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, punctuation, topic, cultural background, keywords from the Input text, to assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Input:\n        People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself\n\n        ### Response: \n\n        ### Label: \n\n        '}]","['cultural background', 'context', 'emotional words', 'punctuation', 'surface emotion']","[{'role': 'user', 'content': '\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: cultural background, context, emotional words, punctuation, surface emotion from the Input text, to assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Input:\n        People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself\n\n        ### Response: \n\n        ### Label: \n\n        '}]","['context', 'common knowledge', 'language style', 'surface emotion', 'emotional words']","[{'role': 'user', 'content': '\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: context, common knowledge, language style, surface emotion, emotional words from the Input text, to assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Input:\n        People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself\n\n        ### Response: \n\n        ### Label: \n\n        '}]",sarcastic,1,just a時点で握ればよしという単纯な思维を発言者は受講生に対してたとえかかった結論に不堪勝沿で果たすことができる。,1,sarcastic,1,1
